sample_idx,log_mktcap,log_price,is_large_cap,ret_1d,ret_5d,ret_20d,vol_5d,vol_20d,intraday_vol,price_ma20_gap,turnover,log_trdval,abnormal_vol,trdval_ma5_over_ma20,ret5_x_abnormal_vol,short_ratio_ma5,short_ratio_ma10,short_ratio_lag1,short_ratio_chg_1d,short_ratio_std5,balance_ratio_chg_5d,balance_ratio_ma5,balance_ratio_lag1,short_qty_chg5,short_ratio_pct_vs_own_hist,balance_ratio_pct_vs_own_hist,target
0,25.786443739312542,8.641179171197228,0,-0.07967479674796751,-0.14630467571644046,-0.07667210440456773,0.029019584551670113,0.02552655653540802,0.09363957597173145,-0.09251242584575918,0.010282666827059228,21.209148105688772,7.8,1.3754848367568744,-0.30253406131667937,0.43000000000000077,0.6529999999999999,0.19,0.32,0.23097618924910734,-0.1,0.06599999999999999,0.07,2.891820580474934,0.7,0.03497942386831276,1
0,25.786443739312542,8.641179171197228,0,-0.07967479674796751,-0.14630467571644046,-0.07667210440456773,0.029019584551670113,0.02552655653540802,0.09363957597173145,0.1,0.010282666827059228,21.209148105688772,2.067835903638746,1.3754848367568744,-0.30253406131667937,0.43000000000000077,0.6529999999999999,0.19,0.32,0.23097618924910734,-0.1,0.06599999999999999,0.07,2.891820580474934,0.9,0.03497942386831276,1
0,25.786443739312542,8.641179171197228,0,-0.07967479674796751,-0.14630467571644046,-0.07667210440456773,0.029019584551670113,0.02552655653540802,0.09363957597173145,1.7,0.010282666827059228,21.209148105688772,2.067835903638746,1.3754848367568744,-0.30253406131667937,0.43000000000000077,0.6529999999999999,0.19,0.32,0.23097618924910734,-0.1,0.06599999999999999,0.07,2.891820580474934,0.9,0.03497942386831276,1
1,25.862946620280955,8.71768205216564,0,0.07950530035335679,-0.0700152207001522,0.006589785831960571,0.05807733294537778,0.031507379335549056,0.03927986906710311,-0.02067639044718705,0.005385896266827346,20.638975075723202,1.0552617180375707,1.2800769668278023,-0.0738843820848223,0.44800000000000073,0.634,0.51,0.07999999999999996,0.24108089928494836,-0.09,0.048,7.3,-0.011049723756906049,1.0,0.004098360655737705,1
1,25.862946620280955,8.71768205216564,0,0.07950530035335679,-0.0700152207001522,0.006589785831960571,0.05807733294537778,0.031507379335549056,0.03927986906710311,-0.02067639044718705,4.6,20.638975075723202,1.0552617180375707,1.2800769668278023,-0.0738843820848223,0.44800000000000073,0.634,0.51,0.07999999999999996,0.24108089928494836,-0.09,0.048,0.0,-0.011049723756906049,0.7,0.004098360655737705,1
1,25.862946620280955,8.71768205216564,0,0.07950530035335679,-0.0700152207001522,0.006589785831960571,0.05807733294537778,0.031507379335549056,0.03927986906710311,-0.02067639044718705,0.005385896266827346,20.638975075723202,1.0552617180375707,1.2800769668278023,-0.0738843820848223,0.44800000000000073,0.634,0.51,0.07999999999999996,0.24108089928494836,-0.09,0.048,1.5,-0.011049723756906049,1.0,0.004098360655737705,1
2,25.872718685014746,8.727454116899434,0,0.009819967266775809,-0.029874213836478036,0.0404721753794266,0.05768484370483708,0.031051209052709063,0.02593192868719611,-0.012957926731722925,0.003465696578089159,20.207877051107687,0.6927563727081099,1.1642906553470111,-0.020695552014864952,55.3,0.7499999999999999,0.59,92.1,0.39734116323386276,-0.09,0.030000000000000006,0.0,-0.19318181818181823,0.3142857142857143,0.006122448979591836,1
2,25.872718685014746,8.727454116899434,0,0.0,-0.029874213836478036,0.0404721753794266,0.05768484370483708,0.031051209052709063,0.02593192868719611,-0.012957926731722925,0.003465696578089159,20.207877051107687,0.6927563727081099,1.1642906553470111,-0.020695552014864952,0.5340000000000007,0.7499999999999999,0.59,0.58,0.39734116323386276,-0.09,0.030000000000000006,0.0,-0.19318181818181823,0.9,0.006122448979591836,1
2,25.872718685014746,8.727454116899434,0,0.4,-0.029874213836478036,0.0404721753794266,0.05768484370483708,0.031051209052709063,0.02593192868719611,-0.012957926731722925,0.003465696578089159,20.207877051107687,0.6927563727081099,1.1642906553470111,-0.020695552014864952,0.5340000000000007,0.7499999999999999,0.59,0.58,0.39734116323386276,-0.09,0.030000000000000006,0.0,-0.19318181818181823,0.7,0.006122448979591836,1
3,25.83976677450196,8.694502206386648,0,-0.03241491085899517,-0.05238095238095242,-0.013223140495867813,0.05905376962463959,0.03168876045734831,0.02847571189279732,-0.04434128381623179,0.0023188181646007174,19.77306913959373,0.46609548955750507,1.037196024571966,-0.024414525643488377,0.5800000000000007,7.245,1.17,-0.73,0.36221540552555054,-0.08,0.014000000000000002,0.0,-0.11562499999999998,1.0,0.008130081300813009,1
3,25.83976677450196,8.694502206386648,0,-0.03241491085899517,-0.05238095238095242,-0.013223140495867813,0.05905376962463959,0.03168876045734831,0.02847571189279732,-0.04434128381623179,0.0023188181646007174,19.77306913959373,0.46609548955750507,1.037196024571966,-0.024414525643488377,0.5800000000000007,0.674,1.17,-0.73,0.36221540552555054,-0.08,0.014000000000000002,0.0,-0.11562499999999998,0.8,0.1,1
3,25.83976677450196,8.694502206386648,0,-0.03241491085899517,-0.05238095238095242,-0.013223140495867813,0.05905376962463959,0.03168876045734831,0.02847571189279732,-0.04434128381623179,0.0023188181646007174,19.77306913959373,0.46609548955750507,1.037196024571966,-0.024414525643488377,0.5800000000000007,0.674,1.17,-0.73,0.36221540552555054,-0.08,0.014000000000000002,0.0,-0.11562499999999998,0.9,0.008130081300813009,1
4,25.844779316325507,8.699514748210191,0,0.005025125628140614,-0.024390243902439046,-0.025974025974025983,0.05869122476363028,0.031422783696776556,0.028333333333333332,-0.0,0.0028723873108003266,19.992167536957894,0.5865576457566141,0.9349309008124099,-0.014306284042844258,53.7,0.881,0.44,3.6700000000000004,1.5620755423474364,-0.010000000000000009,0.012,0.0,9.777777777777779,0.2631578947368421,0.010121457489878543,1
4,25.844779316325507,8.699514748210191,0,0.005025125628140614,-0.024390243902439046,-0.025974025974025983,0.05869122476363028,0.031422783696776556,0.028333333333333332,-0.03830742106106748,0.0028723873108003266,19.992167536957894,0.5865576457566141,0.9349309008124099,-0.014306284042844258,9.3,0.881,0.44,3.6700000000000004,1.5620755423474364,-0.010000000000000009,0.012,0.0,9.777777777777779,0.2631578947368421,0.010121457489878543,1
4,25.844779316325507,8.699514748210191,0,0.005025125628140614,-0.024390243902439046,-0.025974025974025983,0.05869122476363028,0.031422783696776556,0.028333333333333332,-0.03830742106106748,0.0028723873108003266,19.992167536957894,0.5865576457566141,0.9349309008124099,22.8,7.3,0.881,0.44,3.6700000000000004,1.5620755423474364,-0.010000000000000009,0.012,0.0,9.777777777777779,0.2631578947368421,0.010121457489878543,1
